mention,source,time,compound
smh,stockcharts,2023-11-27 17:19:08.017698,0.9292
iyt,stockcharts,2023-11-27 17:19:08.017698,0.9292
ibb,stockcharts,2023-11-27 17:19:08.017698,0.9292
xrt,stockcharts,2023-11-27 17:19:08.017698,0.9292
tsla,stockcharts,2023-11-27 17:19:08.018580,0.7096
pltr,stockcharts,2023-11-27 17:19:08.019488,0.9469
iwm,stockcharts,2023-11-27 17:19:08.020957,0.9998
mdy,stockcharts,2023-11-27 17:19:08.020957,0.9998
xlre,stockcharts,2023-11-27 17:19:08.020957,0.9998
xlu,stockcharts,2023-11-27 17:19:08.020957,0.9998
xly,stockcharts,2023-11-27 17:19:08.020957,0.9998
xlb,stockcharts,2023-11-27 17:19:08.020957,0.9998
xle,stockcharts,2023-11-27 17:19:08.020957,0.9998
xlv,stockcharts,2023-11-27 17:19:08.020957,0.9998
gps,stockcharts,2023-11-27 17:19:08.020957,0.9998
dwcree,stockcharts,2023-11-27 17:19:08.020957,0.9998
djusra,stockcharts,2023-11-27 17:19:08.020957,0.9998
djusib,stockcharts,2023-11-27 17:19:08.020957,0.9998
djusrd,stockcharts,2023-11-27 17:19:08.020957,0.9998
djusmf,stockcharts,2023-11-27 17:19:08.020957,0.9998
djushn,stockcharts,2023-11-27 17:19:08.020957,0.9998
stx,stockcharts,2023-11-27 17:19:08.020957,0.9998
wdc,stockcharts,2023-11-27 17:19:08.020957,0.9998
nvda,stockcharts,2023-11-27 17:19:08.020957,0.9998
tnx,stockcharts,2023-11-27 17:19:08.021948,0.9994
xhb,stockcharts,2023-11-27 17:19:08.021948,0.9994
qqq,stockcharts,2023-11-27 17:19:08.021948,0.9994
msft,stockcharts,2023-11-27 17:19:08.021948,0.9994
botz,stockcharts,2023-11-27 17:19:08.021948,0.9994
remx,stockcharts,2023-11-27 17:19:08.021948,0.9994
