mention,source,time,compound,percentChange
tgt,Marketwatch / Stocks to watch,2023-11-07 10:28:27.512596,0.5994,"[-0.8842401342079521, -3.645223178544901, -2.2557069012873527]"
intc,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.747345,0.7096,"[-0.836829224570041, -1.1506339489886015, 1.6213360477802783]"
gt,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.747345,0.9579,"[-1.1627877749298976, -3.8759691068654942, -0.387590996427048]"
ayx,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.4404,"[-0.3547095844551041, -1.28240436871811, 1.0641183449148162]"
trip,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.9535,"[-0.399324583176881, -3.0804386444703376, -0.912720143439575]"
sanm,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.9477,"[2.4565240611200747, 1.4999970145847485, 3.739133088485054]"
hims,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.6908,"[3.6927621965190323, -2.0679448579028787, 0.590841387972251]"
tdc,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.8779,"[-0.12931330025398977, -0.5603494131039122, 0.6465500586098619]"
comp,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.9601,"[-0.4854364437391164, -8.252425330423856, -4.854364437391164]"
djia,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.9601,"[0.0, 0.3271013835140725, 0.5700922559594173]"
we,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,-0.5106,"[91.50209697058591, 50.80789797568216, 85.51764796861949]"
spce,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.8442,"[-7.142857649699376, 10.714290022444697, 6.547620103540367]"
spx,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.755626,0.8442,[]
amc,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.9657,"[-8.1056414094091, -20.67394898658637, -27.049175201965298]"
cnk,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.9657,"[-1.5820683580167547, -2.373102537025132, -4.350691127836489]"
msft,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.891,"[1.0573228645188484, 0.35893393623524317, 2.857545827952353]"
nrg,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.6908,"[-0.9325532411275819, -2.2554779912405087, -1.2144900582918166]"
xlu,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.6908,"[-1.5065613349623712, -2.8025264135189953, -2.2841403820963455]"
djia,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.9657,"[0.0, 0.3271013835140725, 0.5700922559594173]"
comp,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.9657,"[-0.4854364437391164, -8.252425330423856, -4.854364437391164]"
pep,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.7184,"[0.3537148243981446, -0.38369267262533957, 0.07193951738134302]"
dis,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.7184,"[0.4039880264925637, 7.3431468712775425, 4.883546580461281]"
c,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,-0.476,"[0.28776721748027817, -0.479618127770401, 0.9112735279682713]"
hgv,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.9786,"[-0.17538018181643822, -2.2800315702168588, -1.695404945569476]"
bvh,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.9786,"[-0.08203033046698256, 0.41010993315857863, 0.6014966545913988]"
algn,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.4678,"[-2.246686546412386, -5.4172820667211266, -2.998940890471681]"
spx,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.763665,0.4678,[]
bmbl,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.771445,0.5994,"[5.339441504736619, 3.5087723126879204, 8.695655020418888]"
crm,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.771445,0.5994,"[0.9403347115528043, 0.24343413214125897, 1.971362712559666]"
ostk,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.771445,0.8442,"[0.6161453129403326, -4.374609393087054, -2.4029537932734875]"
byon,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.771445,0.8442,"[0.6161453129403326, -4.374609393087054, -2.4029537932734875]"
frpt,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.9246,"[-2.053174966479121, -1.8168327665943846, -0.9896576058305255]"
bntx,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.6908,"[0.26167686657942824, -0.04025857013045988, 0.20128517211517746]"
pfe,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.6908,"[-0.8365515750324135, -4.5045032881819065, -5.148006388022342]"
sbux,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.872,"[0.06715887227260867, -1.9188332875237846, 0.0959402004225702]"
ogi,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.9618,"[-5.882356034843122, -14.705885704413383, -9.558823078252045]"
uk:bats,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.9618,[]
thcx,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.9618,"[-2.025699946748321, -5.850675147714462, -4.235008461670814]"
crgx,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.6371,[]
ipo,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.6371,"[0.2556724875848615, -1.182489064900568, 0.9907301274272214]"
